LID,ARTIST,EN_TITLE,KR_TITLE,GENRE,IS_OFFICIAL,URL
001,Big Bang,fantastic baby,fantastic baby,k-pop,0.0,https://youtu.be/3PbLm3Ihf-A
002,f(x),NU ABO,,k-pop,0.0,https://youtu.be/age5mokEV9I
003,Day6,Congratulations,,k-pop,1.0,
004,Big Bang,bang bang bang,뱅뱅뱅,k-pop,0.0,https://www.youtube.com/watch?v=BqDle1e98e0
005,NCT127,Highway to heaven,,k-pop,1.0,
006,(G)I-DLE,Oh my god,,k-pop,1.0,*
007,TOMORROW X TOGETHER,Cat & Dog,,k-pop,1.0,
008,NCT127,Cherry Bomb,,k-pop,1.0,
009,(G)I-DLE,hwaa,화,k-pop,1.0,"January 11, 2021"
010,Jimin,Like Crazy,,k-pop,1.0,"March 24, 2023"
011,Ateez,Take me home,,k-pop,1.0,"March 1, 2021"
012,ITZY,wanna be,wanna be,k-pop,1.0,
013,TVXQ,Hug,Hug,k-pop,1.0,
014,ITZY,loco,loco,k-pop,1.0,
015,EXO,For Life,For Life,k-pop,1.0,"January 30, 2019"
016,Twice,Cry for Me,Cry for Me,k-pop,1.0,
017,ITZY,in the morning,in the morning,k-pop,1.0,
018,Twice,More & More,More & More,k-pop,1.0,
019,Twice,I Can't Stop Me,I Can't Stop Me,k-pop,1.0,
020,(G)I-DLE,Latata,,k-pop,1.0,"May 15, 2020"
021,CLC,helicopter,,k-pop,1.0,"September 2, 2020"
022,Taeyang,Wedding Dress,,k-pop,1.0,"July 1, 2010"
023,Girls’ Generation-TTS,Dear Santa,,k-pop,1.0,"December 4, 2015"
024,Jessica,Fly,,k-pop,1.0,"May 27, 2016"
025,Jessica,Wonderland,,k-pop,1.0,
026,Shannon, Love Don’t Hurt,눈물이 흘러,k-pop,1.0,
027,HYO & 3LAU,Punk Right Now,,k-pop,1.0,
028,2ne1,can't nobdy,,k-pop,1.0,
029,Momoland,Thumbs up,,k-pop,1.0,
030,BoA,No.1,No.1,k-pop,1.0,
031,BoA,Valenti,Valenti,k-pop,1.0,
032,BoA,Only One,Only One,k-pop,1.0,
033,Cheeze,거짓말처럼,,k-pop,1.0,
034,Tiffany Young,What Do I Do,,k-pop,1.0,
035,BoA,ID Peace B,ID Peace B,k-pop,1.0,
036,Pixy,Bewitched,,k-pop,1.0,
037,GD & Top,We belong together,,k-pop,1.0,
038,U-KISS,Stop Girl,,k-pop,1.0,
039,OOHYO,Vineyard,,k-pop,1.0,
040,ONF,Beautiful Beautiful,,k-pop,1.0,v
041,BTS,I Need U,I Need U,k-pop,0.0,https://youtu.be/EIGIjqD_Uyg
042,BTS,fire,불타오르네,k-pop,0.0,https://www.youtube.com/watch?v=Pd2kdtihfKo
043,BTS,Blood Sweat & Tears,피 땀 눈물,k-pop,0.0,https://youtu.be/T6fgU9ufr8I
044,BTS,mic drop,mic drop,k-pop,0.0,https://www.youtube.com/watch?v=QUSvJBqsfTM
045,ITZY,not shy,not shy,k-pop,1.0,
046,TVXQ,mirotic,mirotic,k-pop,0.0,https://www.youtube.com/watch?v=z-RCJGMUswA
047,ITZY,DALLA DALLA,달라달라,k-pop,1.0,
048,Monsta X,Shoot out,Shoot out,k-pop,1.0,
049,wonder girls,nobody nobody,nobody nobody,k-pop,1.0,
050,girl's generation,the boys,the boys,k-pop,1.0,
051,boa,every heart,every heart,k-pop,1.0,
052,wonder girls,be my baby,be my baby,k-pop,1.0,
053,pentagon,do or not,do or not,k-pop,1.0,
054,big bang,always,always,k-pop,1.0,
055,boa,don't start now,don't start now,k-pop,1.0,
056,blank pink,whistle,휘파람,k-pop,0.0,https://youtu.be/JWxy8MQzi94
057,blank pink,boombayah,붐바야,k-pop,0.0,https://youtu.be/jZ6AvyRjDJ0
058,bts,fake love,fake love,k-pop,0.0,https://www.youtube.com/watch?v=-TZWzYEv0xw
059,brown eyed girls,abracadabra,abracadabra,k-pop,0.0,https://www.youtube.com/watch?v=nsHdfmwzBvw
